#{"t_start": 1704281210.0784667, "env_id": "None"}
r,l,t
-65666.246156,404,436.246707
-49953.519101,239,437.091728
-254.785618,53,437.495799
-48139.537636,194,438.227873
-26041.252131,197,438.97168
-70639.460707,271,441.220529
-8778.389798,44,441.601855
-43730.701581,203,442.392825
-2939.875251,76,442.856193
-2400.408051,48,443.250245
-10593.435575,76,443.735156
-21364.24432,43,444.116301
-16953.317026,117,444.689822
-88353.605059,288,445.654516
-46279.512284,203,446.417694
-6857.471972,78,446.875176
-84779.760402,397,448.10217
-54376.111108,313,449.146847
-19562.173976,134,449.755748
-24193.285451,87,450.244802
-26602.517952,276,451.20769
-19234.453805,86,451.709614
-16503.030484,133,452.307972
-27329.936714,148,452.942272
-43142.242859,273,453.881484
-47425.630645,210,454.650414
-78087.545729,376,455.873049
-38126.57228,234,456.696733
-64533.492584,392,459.053695
-1759.012982,21,459.366976
-8097.938404,116,459.915457
-33271.741052,139,460.526551
-43818.47918,324,461.578863
-30147.431274,142,462.196696
-14781.969119,179,462.902642
-16831.31713,67,463.355273
-71937.439421,381,464.541013
-5088.02211,76,465.016796
-255.48384,18,465.339213
-2929.783563,65,465.769832
-11028.704845,195,466.512662
-36761.635919,131,467.115696
-49774.449713,260,468.02098
-23576.159839,101,468.539866
-2180.242974,39,468.910226
-27920.349817,219,469.70807
-2128.386679,46,470.08887
-2557.791673,60,470.514723
-17725.416852,62,470.940096
-144962.222642,648,472.750359
-11943.022141,60,473.164675
-31354.825172,239,474.008152
-75747.504664,226,474.820737
-30666.175791,141,476.622718
-327.250983,39,476.995596
-48143.743472,268,477.936895
-11478.276696,136,478.553576
-4366.326373,41,478.928732
-5462.045499,53,479.329769
-3777.062388,62,479.744681
-41002.381345,203,480.556154
-60349.941176,296,481.584236
-9354.31757,43,481.977201
-25242.935233,190,482.723793
-102512.017835,204,483.504667
-46031.685491,270,484.413767
-48134.488753,269,485.368687
-14318.978413,104,485.888149
-20701.806352,133,486.471631
-24026.671735,150,487.157259
-80298.668014,297,488.17061
-6321.188097,46,488.561834
-33164.819311,139,489.164193
-16365.283911,165,489.822152
-23708.319895,132,490.38841
-6316.154527,58,490.799458
-15196.795837,97,491.292571
-9106.227126,119,491.822859
-2101.08648,58,492.222068
-33805.91411,98,492.71255
-45317.975993,252,493.560638
-47116.657688,219,495.482803
-2872.404521,87,495.947834
-41935.903338,303,496.927917
-7181.627133,64,497.33526
-20315.617286,57,497.720537
-4613.918137,47,498.099752
-734.105038,35,498.445761
-55116.969504,312,499.448565
-9640.311998,71,499.876763
-651.121361,16,500.178341
-628.099159,24,500.507063
-66444.008053,258,501.367959
-35242.342878,291,502.280489
-39836.809617,259,503.200794
-34521.067331,129,503.771081
-1786.25582,87,504.23866
-4261.129048,58,504.639218
-35740.812616,222,505.4384
-54636.122523,314,506.455656
-81171.486496,393,507.640422
-45772.224194,172,508.298228
-18255.182347,119,508.837097
-76111.403642,418,510.093364
-25274.045768,132,510.67068
-1819.469402,43,511.029797
-44330.820588,140,512.778529
-24307.67396,225,513.552682
-21796.053176,62,513.953457
-19277.611989,126,514.500124
-32900.337998,253,515.328189
-33994.78972,252,516.165524
-6238.116277,97,516.662445
-2627.803306,52,517.044298
-42757.107233,196,517.749381
-11115.635573,114,518.270955
-11671.994346,51,518.645157
-14703.510231,208,519.390277
-339.046471,20,519.701159
-5668.4026,91,520.180001
-3285.065411,61,520.583062
-23697.268787,100,521.074866
-18854.192162,130,521.644455
-2060.722051,43,522.013298
-35295.1654,244,522.84395
-59616.200483,281,523.745279
-42140.898278,206,524.48412
-6795.175889,148,525.08075
-10135.571195,65,525.498707
-95123.012166,295,526.436291
-7325.60162,112,526.970754
-34872.585836,230,527.798295
-27423.012272,136,528.421331
-16005.680127,157,529.038443
-4979.811337,89,530.649989
-5111.816743,89,531.121831
-13475.350035,115,531.649724
-44870.502796,342,532.678222
-10425.259219,128,533.232043
-10978.261786,67,533.646124
-19063.781944,178,534.308517
-11342.509999,45,534.675052
-23390.522623,183,535.349283
-3386.882014,22,535.661457
-1020.432726,43,536.023528
-101055.472198,335,537.061822
-14100.775499,144,537.643846
