#{"t_start": 1704888107.8573146, "env_id": "None"}
r,l,t
-1657.338966,318,2061.942876
-891.964637,168,2070.934372
-1612.763644,233,2074.95497
-5050.573605,1001,2086.418514
-1515.260949,355,2091.352912
-3061.348906,266,2094.852528
-2401.447874,628,2102.436721
-1635.203911,151,2105.132801
-795.502941,131,2107.482861
-1038.509415,154,2110.196731
-4751.844085,661,2121.054847
-1294.803052,149,2123.56673
-4655.022163,571,2136.686889
-7024.156004,603,2144.747995
-3713.870858,292,2148.930642
-688.363952,110,2151.152959
-1552.503821,273,2155.187544
-1331.434006,192,2158.032433
-1081.654645,158,2160.519869
-1884.018357,507,2167.163805
-1519.345546,252,2170.80579
-3267.022818,617,2179.413648
-1663.094638,135,2182.39289
-1593.094729,472,2189.102844
-1938.012912,257,2198.636801
-1643.535039,187,2201.407814
-2643.394563,155,2203.893855
-7789.712444,709,2213.367682
-728.422557,147,2215.405962
-2539.032748,250,2219.242447
-935.274202,161,2221.807124
-2243.569001,414,2227.078173
-1960.894537,297,2231.519986
-696.527726,71,2233.103922
-2275.482382,589,2240.317852
-990.853792,106,2242.717617
-1456.676529,167,2245.705982
-1094.407988,198,2249.532202
-1235.613559,394,2254.014272
-1208.476028,176,2256.833062
-2488.089227,552,2268.986079
-1075.823885,220,2273.159975
-760.743835,47,2274.743957
-1061.532732,99,2276.412083
-4160.766455,537,2282.222181
-1283.163766,236,2285.899456
-3092.932398,248,2289.286669
-3452.788681,607,2297.150481
-1657.090161,382,2303.015104
-1386.491636,222,2306.087022
-2466.793006,355,2310.606022
-1481.528555,215,2312.861446
-5229.876199,1001,2326.356036
-4579.768961,607,2330.85949
-3495.222987,508,2332.873078
-606.321004,95,2333.469143
-3824.712566,536,2335.392781
-1285.533831,215,2336.362982
-710.417751,110,2337.035635
-4108.118154,382,2338.482816
-1363.39369,410,2340.0162
-8393.120242,468,2341.757952
-5213.149952,440,2347.072076
-1461.035,229,2348.104156
-754.478537,67,2348.607312
-605.646797,64,2349.120523
-1377.012374,597,2351.314097
-2887.2822,663,2353.71974
-1392.376542,106,2354.330123
-2966.764812,950,2357.674152
-1043.193326,117,2358.453547
-1250.773648,110,2359.152394
-7092.725092,755,2361.646818
-1226.210259,322,2366.621284
-1004.283546,99,2367.237986
-1958.032608,489,2369.072976
-930.218165,70,2369.57311
-805.661044,156,2370.293183
-1039.837043,322,2371.626791
-1059.276018,187,2372.513002
-568.715681,46,2372.972658
-554.02681,77,2373.498048
-2038.049847,316,2374.841486
-1251.092125,305,2376.112646
-1035.920542,307,2377.425066
-1519.808206,162,2378.222929
-9011.077006,666,2380.448513
-405.733888,33,2380.85994
-2090.193728,124,2381.52802
-842.884056,142,2382.273191
-6436.938304,557,2387.883128
-6259.070479,466,2389.648032
-4481.516565,475,2391.432992
-842.287745,140,2392.22271
-671.286466,121,2392.963122
-2324.516711,465,2394.76299
-450.089821,46,2395.208061
-2123.767096,319,2396.558991
