#{"t_start": 1704465075.6408708, "env_id": "None"}
r,l,t
26.785305,97,1144.781926
7.907443,263,1147.125981
6.374596,380,1148.311312
-55.298964,130,1148.923301
-117.605925,272,1149.88167
-79.807761,201,1150.669922
-32.359476,92,1151.171827
-110.500825,385,1152.429488
-3.646957,53,1152.847109
-17.684737,212,1153.671927
69.429284,641,1155.576831
-209.610532,536,1157.319083
14.200434,313,1158.363124
-76.842043,263,1159.283933
-27.865516,496,1160.803407
-24.527331,119,1162.769584
14.089106,198,1163.561324
-21.802321,353,1164.825983
-96.126972,212,1165.722125
-45.501412,525,1167.313653
-23.683744,199,1168.095477
-37.079566,165,1168.793256
0.391805,328,1169.90187
4.162514,574,1171.769554
-67.277429,318,1172.891375
-50.319264,380,1174.128871
54.273262,385,1175.490424
41.191184,267,1176.496636
-60.732025,233,1178.810025
6.417406,428,1180.195472
-63.055588,91,1180.725446
-53.419803,505,1182.287925
-54.224445,232,1183.166762
-86.403281,153,1183.851795
12.517055,190,1184.672508
-36.951798,191,1185.448828
-110.374522,241,1186.345077
-22.239518,23,1186.688461
-52.321697,148,1187.318506
11.959395,282,1188.31001
-108.056965,527,1190.004418
-24.670047,135,1190.647244
-34.092669,163,1191.371687
-101.518819,423,1192.747396
-41.080508,309,1195.298669
-110.032178,247,1196.244525
-102.08197,342,1197.423115
24.372077,346,1198.603321
-117.298553,927,1201.228054
-40.033173,261,1202.171094
-54.274519,340,1203.318915
-130.590112,274,1204.309338
-21.396037,121,1204.875904
45.503921,807,1207.249302
-121.970392,567,1210.407031
-74.655788,411,1211.769062
-113.120351,604,1213.58796
-5.384131,49,1214.005358
-79.201419,556,1215.732129
-73.611654,233,1216.631272
-134.470438,267,1217.600261
1.194241,183,1218.356441
-40.733692,278,1219.364724
-1.584196,650,1221.317676
32.634144,236,1222.230108
15.616448,97,1222.750398
-20.614639,178,1223.490999
-50.187835,271,1225.92225
189.687918,555,1227.606622
-81.013836,192,1228.367242
-99.992393,156,1229.058079
-7.451782,341,1230.252131
12.860201,254,1231.183869
-88.00628,418,1232.534499
-30.079963,48,1232.931695
-14.970576,77,1233.497461
39.64279,181,1234.230776
-6.588759,412,1235.551805
-150.020957,312,1236.652158
-45.788531,306,1237.74107
28.323589,168,1238.44973
-11.634712,385,1239.676399
-27.57617,315,1242.282699
-110.128348,941,1244.976187
57.748594,536,1246.609425
-2.284197,178,1247.347958
135.544272,1001,1250.176786
-116.243782,1001,1252.957828
-63.083579,254,1253.892807
